Data;Kurs;Zmiana;Nazwa Tabeli
2022-04-28;4.6915;-0.34;082/A/NBP/2022
2022-04-27;4.7076;1.39;081/A/NBP/2022
2022-04-26;4.6429;0.05;080/A/NBP/2022
2022-04-25;4.6405;0.09;079/A/NBP/2022
2022-04-22;4.6361;-0.35;078/A/NBP/2022
2022-04-21;4.6523;0.49;077/A/NBP/2022
2022-04-20;4.6295;-0.14;076/A/NBP/2022
2022-04-19;4.6361;-0.04;075/A/NBP/2022
2022-04-15;4.6378;-0.15;074/A/NBP/2022
2022-04-14;4.6447;-0.03;073/A/NBP/2022
2022-04-13;4.6460;-0.36;072/A/NBP/2022
2022-04-12;4.6626;0.38;071/A/NBP/2022
2022-04-11;4.6451;0.10;070/A/NBP/2022
2022-04-08;4.6405;-0.16;069/A/NBP/2022
2022-04-07;4.6478;-0.13;068/A/NBP/2022
2022-04-06;4.6539;0.48;067/A/NBP/2022
2022-04-05;4.6317;-0.12;066/A/NBP/2022
2022-04-04;4.6373;-0.12;065/A/NBP/2022
2022-04-01;4.6428;-0.21;064/A/NBP/2022
2022-03-31;4.6525;0.04;063/A/NBP/2022
2022-03-30;4.6507;-1.35;062/A/NBP/2022
2022-03-29;4.7144;0.26;061/A/NBP/2022
2022-03-28;4.7020;-0.93;060/A/NBP/2022
2022-03-25;4.7459;0.90;059/A/NBP/2022
2022-03-24;4.7589;3.07;058/A/NBP/2022
2022-03-23;4.7036;0.13;057/A/NBP/2022
2022-03-22;4.6975;0.10;056/A/NBP/2022
2022-03-21;4.6930;-0.62;055/A/NBP/2022
2022-03-18;4.7221;0.74;054/A/NBP/2022
2022-03-17;4.6876;-0.38;053/A/NBP/2022
2022-03-16;4.7055;-0.54;052/A/NBP/2022
2022-03-15;4.7311;-0.32;051/A/NBP/2022
2022-03-14;4.7465;-0.96;050/A/NBP/2022
2022-03-11;4.7924;-0.19;049/A/NBP/2022
2022-03-10;4.8013;-0.86;048/A/NBP/2022
2022-03-09;4.8429;-1.41;047/A/NBP/2022
2022-03-08;4.9121;-1.06;046/A/NBP/2022
2022-03-07;4.9647;2.65;045/A/NBP/2022
2022-03-04;4.8363;0.90;044/A/NBP/2022
2022-03-03;4.7931;-0.12;043/A/NBP/2022
2022-03-02;4.7989;1.58;042/A/NBP/2022
2022-03-01;4.7241;0.71;041/A/NBP/2022
2022-02-28;4.6909;0.65;040/A/NBP/2022
2022-02-25;4.6608;0.70;039/A/NBP/2022
2022-02-24;4.6284;2.06;038/A/NBP/2022
2022-02-23;4.5352;-0.14;037/A/NBP/2022
2022-02-22;4.5416;0.49;036/A/NBP/2022
2022-02-21;4.5193;-0.14;035/A/NBP/2022
2022-02-18;4.5256;0.37;034/A/NBP/2022
2022-02-17;4.5088;0.38;033/A/NBP/2022
2022-02-16;4.4916;-0.39;032/A/NBP/2022
2022-02-15;4.5091;-1.43;031/A/NBP/2022
2022-02-14;4.5743;1.28;030/A/NBP/2022
2022-02-11;4.5163;0.63;029/A/NBP/2022
2022-02-10;4.4879;-0.64;028/A/NBP/2022
2022-02-09;4.5167;-0.24;027/A/NBP/2022
2022-02-08;4.5274;-0.61;026/A/NBP/2022
2022-02-07;4.5550;0.20;025/A/NBP/2022
2022-02-04;4.5459;0.04;024/A/NBP/2022
2022-02-03;4.5439;-0.13;023/A/NBP/2022
2022-02-02;4.5500;-0.70;022/A/NBP/2022
2022-02-01;4.5820;-0.35;021/A/NBP/2022
2022-01-31;4.5982;0.62;020/A/NBP/2022
2022-01-28;4.5697;-0.04;019/A/NBP/2022
2022-01-27;4.5713;-0.45;018/A/NBP/2022
2022-01-26;4.5920;0.22;017/A/NBP/2022
2022-01-25;4.5821;1.02;016/A/NBP/2022
2022-01-24;4.5358;0.12;015/A/NBP/2022
2022-01-21;4.5303;0.23;014/A/NBP/2022
2022-01-20;4.5201;-0.17;013/A/NBP/2022
2022-01-19;4.5279;0.01;012/A/NBP/2022
2022-01-18;4.5275;0.16;011/A/NBP/2022
2022-01-17;4.5201;-0.38;010/A/NBP/2022
2022-01-14;4.5372;0.23;009/A/NBP/2022
2022-01-13;4.5270;-0.14;008/A/NBP/2022
2022-01-12;4.5332;-0.27;007/A/NBP/2022
2022-01-11;4.5454;0.17;006/A/NBP/2022
2022-01-10;4.5377;-0.44;005/A/NBP/2022
2022-01-07;4.5576;-0.21;004/A/NBP/2022
2022-01-05;4.5672;-0.14;003/A/NBP/2022
2022-01-04;4.5737;-0.33;002/A/NBP/2022
2022-01-03;4.5889;-0.23;001/A/NBP/2022
